Description,ID,Location,Sherrifs,Date
ROBBERY,2019-00023982,2600 BLOCK 2ND ST,San Bernardino Police,2/23/2019 21:00
DRUNKENNESS,2019-00023976,WALL AVE & BASELINE ST,San Bernardino Police,2/23/2019 20:55
ASSAULT - AGGRAVATED,2019-00023927,300 BLOCK D ST,San Bernardino Police,2/23/2019 18:05
THEFT- MOTOR VEHICLE,2019-00024128,100 BLOCK 6TH ST,San Bernardino Police,2/23/2019 17:45
GTA - AUTO,190540118,25700 BLOCK BASELINE ST,Highland Police,2/23/2019 17:26
BURGLARY/BREAKING & ENTERING,2019-00024592,300 BLOCK E ST,San Bernardino Police,2/23/2019 15:00
THEFT - ALL OTHER,2019-00023835,1100 BLOCK G ST,San Bernardino Police,2/23/2019 13:20
ROBBERY,2019-00023823,400 BLOCK BASELINE ST,San Bernardino Police,2/23/2019 13:00
ASSAULT - AGGRAVATED,2019-00023800,600 BLOCK 9TH ST,San Bernardino Police,2/23/2019 13:00
THEFT - ALL OTHER,2019-00023835,1100 BLOCK G ST,,
BURGLARY/BREAKING & ENTERING,2019-00023791,100 BLOCK 8TH ST,San Bernardino Police,2/23/2019 11:37
GTA - AUTO,190540054,7300 BLOCK MC KINLEY ST,Highland Police,2/23/2019 10:07
ASSAULT - SIMPLE (NO MED NEEDED),2019-00023757,200 BLOCK 5TH ST,San Bernardino Police,2/23/2019 9:30
THEFT- MOTOR VEHICLE,2019-00024729,700 BLOCK 9TH ST,San Bernardino Police,2/23/2019 9:00
ASSAULT - AGGRAVATED,2019-00023724,1200 BLOCK CONGRESS ST,San Bernardino Police,2/23/2019 7:15
THEFT- MOTOR VEHICLE,2019-00023746,1900 BLOCK EVANS ST,San Bernardino Police,2/23/2019 7:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00023709,2100 BLOCK CHESTNUT ST,San Bernardino Police,2/22/2019 23:30
THEFT- MOTOR VEHICLE,2019-00023704,1100 BLOCK H ST,San Bernardino Police,2/22/2019 22:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00023550,1500 BLOCK ARROWHEAD AVE,San Bernardino Police,2/22/2019 20:21
BURGLARY/BREAKING & ENTERING,2019-00024753,1300 BLOCK SEPULVEDA AVE,San Bernardino Police,2/22/2019 20:00
BURGLARY/BREAKING & ENTERING,2019-00023812,900 BLOCK BASELINE ST,San Bernardino Police,2/22/2019 19:00
VANDALISM FELONY OVER $400.00,190530117,7400 BLOCK ELM ST,Highland Police,2/22/2019 18:30
THEFT- MOTOR VEHICLE,2019-00023592,8000 BLOCK SHIRLEY AVE,San Bernardino Police,2/22/2019 17:30
ROBBERY,2019-00023493,100 BLOCK 8TH ST,San Bernardino Police,2/22/2019 17:20
MISC NARCOTIC MISD,190530101,DEL ROSA AVE / E BASELINE ST,Highland Police,2/22/2019 16:45
"RESIDENTIAL-UNKNOWN TIME, ENTRY NO FORCE",190530051,7000 BLOCK DWIGHT WAY,San Bernardino County Sheriff,2/22/2019 16:18
"FRAUD, IDENTITY THEFT",190530049,600 BLOCK E 3RD ST,San Bernardino County Sheriff,2/22/2019 15:51
ASSAULT - SIMPLE (NO MED NEEDED),2019-00023456,700 BLOCK D ST,San Bernardino Police,2/22/2019 15:30
FONDLING CHILD (FORCIBLE),2019-00023456,700 BLOCK D ST,San Bernardino Police,2/22/2019 15:30
ASSAULT - AGGRAVATED,2019-00023429,1600 BLOCK 16TH ST,San Bernardino Police,2/22/2019 14:49
SHOPLIFTING,2019-00023416,500 BLOCK MT VERNON AVE,San Bernardino Police,2/22/2019 13:45
POSS OF CONTROLLED SUBSTANCE,190530072,LANKERSHIM AVE / CYPRESS ST,Highland Police,2/22/2019 13:34
DRUG/NARCOTIC VIOLATIONS,2019-00023390,400 BLOCK 10TH ST,San Bernardino Police,2/22/2019 13:14
CARRYING CONCEALED FIREARM,190530055,100 BLOCK W 5TH. ST,Victorville Police,2/22/2019 9:21
ROBBERY,2019-00023302,800 BLOCK MT VERNON AVE,San Bernardino Police,2/22/2019 9:20
THEFT - ALL OTHER,2019-00023480,700 BLOCK ARROWHEAD AVE,San Bernardino Police,2/22/2019 8:40
POSS OF CONTROLLED SUBSTANCE,190530022,25900 BLOCK BASELINE ST,Highland Police,2/22/2019 4:42
DRUNKENNESS,2019-00023219,2100 BLOCK CHESTNUT ST,San Bernardino Police,2/22/2019 1:43
BURGLARY/BREAKING & ENTERING,2019-00023822,300 BLOCK 8TH ST,San Bernardino Police,2/22/2019 0:00
ASSAULT - AGGRAVATED,2019-00023168,1300 BLOCK OAK ST,San Bernardino Police,2/21/2019 21:59
