Description,ID,Location,Sherrifs,Date
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015394,2100 BLOCK CHESTNUT ST,San Bernardino Police,2/4/2019 18:15
THEFT - ALL OTHER,2019-00015649,700 BLOCK MILL ST,San Bernardino Police,2/4/2019 17:30
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015360,1100 BLOCK BASELINE ST,San Bernardino Police,2/4/2019 16:30
THEFT- MOTOR VEHICLE,2019-00015371,2100 BLOCK RIALTO AVE,San Bernardino Police,2/4/2019 16:00
THEFT- MOTOR VEHICLE,2019-00015386,200 BLOCK G ST,San Bernardino Police,2/4/2019 13:56
SHOPLIFTING,2019-00015248,1100 BLOCK 2ND ST,San Bernardino Police,2/4/2019 12:01
MISC NARCOTIC MISD,190350025,25700 BLOCK BASELINE ST,Highland Police,2/4/2019 9:36
RAPE - FORCIBLE,2019-00024906,MACY ST & 2ND ST,San Bernardino Police,
ASSAULT - AGGRAVATED,2019-00015166,1600 BLOCK TEMPLE ST,San Bernardino Police,2/4/2019 9:01
THEFT- MOTOR VEHICLE,2019-00015577,13TH ST & MT VERNON AVE,San Bernardino Police,2/4/2019 8:52
THEFT - ALL OTHER,2019-00015236,100 BLOCK WATERMAN AVE,San Bernardino Police,2/4/2019 8:15
BURGLARY/BREAKING & ENTERING,2019-00015122,600 BLOCK LINCOLN AVE,San Bernardino Police,2/4/2019 4:06
BURGLARY/BREAKING & ENTERING,2019-00015081,500 BLOCK 5TH ST,San Bernardino Police,2/4/2019 0:00
ASSAULT - AGGRAVATED,2019-00015043,100 BLOCK 5TH ST,San Bernardino Police,2/3/2019 22:11
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015040,1400 BLOCK 9TH ST,San Bernardino Police,2/3/2019 22:05
DRUG/NARCOTIC VIOLATIONS,2019-00015039,1200 BLOCK SEPULVEDA AVE,San Bernardino Police,2/3/2019 21:51
DRUG EQUIPMENT VIOLATIONS (PARAPHENLIA),2019-00015039,1200 BLOCK SEPULVEDA AVE,San Bernardino Police,2/3/2019 21:51
THEFT - ALL OTHER,2019-00022444,600 BLOCK PERRIS ST,San Bernardino Police,2/3/2019 20:00
GTA - AUTO,190340084,BASELINE ST / MC KINLEY ST,Highland Police,2/3/2019 19:50
THEFT - ALL OTHER,2019-00015266,100 BLOCK 8TH ST,San Bernardino Police,2/3/2019 19:00
ROBBERY,2019-00014991,1300 BLOCK 5TH ST,San Bernardino Police,2/3/2019 19:00
ROBBERY,2019-00014973,100 BLOCK BASELINE ST,San Bernardino Police,2/3/2019 17:20
SHOPLIFTING,2019-00014967,400 BLOCK BASELINE ST,San Bernardino Police,2/3/2019 16:05
THEFT - ALL OTHER,2019-00015236,100 BLOCK WATERMAN AVE,,
BURGLARY/BREAKING & ENTERING,2019-00015054,200 BLOCK RANCHO AVE,San Bernardino Police,2/3/2019 14:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00016558,1300 BLOCK WATERMAN AVE,San Bernardino Police,2/3/2019 12:00
"ASSAULT, NON AGGRAVATED, TO CHILD",190340016,6900 BLOCK N BARTON ST,San Bernardino County Sheriff,2/3/2019 5:32
VANDALISM FELONY OVER $400.00,190340020,26000 BLOCK BASELINE ST,Highland Police,2/3/2019 4:43
DRUNKENNESS,2019-00014803,100 BLOCK J ST,San Bernardino Police,2/3/2019 4:29
ASSAULT - SIMPLE (NO MED NEEDED),2019-00014802,2400 BLOCK UNION ST,San Bernardino Police,2/3/2019 4:15
POSS OF CONTROLLED SUBSTANCE,190340015,25900 BLOCK 9TH ST,Highland Police,2/3/2019 3:48
ASSAULT - SIMPLE (NO MED NEEDED),2019-00015470,1100 BLOCK 9TH ST,San Bernardino Police,2/3/2019 3:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00014749,1000 BLOCK SPRUCE ST,San Bernardino Police,2/3/2019 0:01
POSS OF CONTROLLED SUBSTANCE,,,,
